,0,1,Batch,Pred_subtype,Original_subtype
TCGA-GM-A3XN-01A-12D-A230-05,1.0035957,3.6582415,Source,Cluster 3,LumA
TCGA-A7-A4SC-01A-12D-A268-05,-9.302337,2.5765138,Source,Cluster 1,LumA
TCGA-BH-A0W4-01A-11D-A10A-05,-0.63571024,4.0628176,Source,Cluster 3,LumA
TCGA-AO-A126-01A-11D-A10N-05,-9.155147,0.89078724,Source,Cluster 1,LumA
TCGA-E9-A1R0-01A-22D-A16G-05,-1.6110673,3.5295508,Source,Cluster 3,LumA
TCGA-GM-A3XG-01A-31D-A244-05,6.0627995,2.2179766,Source,Cluster 5,LumA
TCGA-AC-A8OS-01A-12D-A41Q-05,-1.1585727,3.8387783,Source,Cluster 3,LumA
TCGA-B6-A0WZ-01A-11D-A10A-05,-4.479892,4.1609807,Source,Cluster 3,LumA
TCGA-GM-A3NY-01A-11D-A21R-05,-4.6013594,4.6570773,Source,Cluster 3,LumA
TCGA-A2-A0SU-01A-11D-A10P-05,6.5217056,3.237541,Source,Cluster 5,LumA
TCGA-E2-A107-01A-11D-A10N-05,-4.7215014,4.5801997,Source,Cluster 3,LumA
TCGA-B6-A0X4-01A-11D-A10A-05,5.6725583,3.7998812,Source,Cluster 5,LumA
TCGA-BH-A0HB-01A-11D-A10P-05,-4.275284,4.111754,Source,Cluster 3,LumA
TCGA-D8-A27K-01A-11D-A16G-05,-0.13082124,4.2253637,Source,Cluster 3,LumA
TCGA-A2-A0CR-01A-11D-A22B-05,1.1128507,3.2443686,Source,Cluster 3,LumA
TCGA-LL-A5YN-01A-11D-A28C-05,5.6388006,3.318243,Source,Cluster 5,LumA
TCGA-EW-A1J1-01A-11D-A13K-05,7.0407434,3.0158436,Source,Cluster 5,LumA
TCGA-AQ-A1H3-01A-31D-A13K-05,-4.340987,3.7425156,Source,Cluster 3,LumA
TCGA-E9-A229-01A-31D-A161-05,5.715936,3.8173287,Source,Cluster 5,LumA
TCGA-AR-A24T-01A-11D-A16A-05,-9.2678,2.1072133,Source,Cluster 1,LumA
TCGA-A7-A426-01A-22D-A244-05,1.1083242,3.3642285,Source,Cluster 3,LumA
TCGA-OL-A66K-01A-11D-A29O-05,-4.7382426,4.246808,Source,Cluster 3,LumA
TCGA-AQ-A1H2-01A-11D-A13K-05,4.8803315,4.621539,Source,Cluster 5,LumA
TCGA-BH-A0BT-01A-11D-A12R-05,6.666712,4.075319,Source,Cluster 5,LumA
TCGA-A7-A5ZW-01A-12D-A29O-05,1.3105662,3.4929256,Source,Cluster 3,LumA
TCGA-3C-AALK-01A-11D-A41Q-05,-10.119169,0.75114983,Source,Cluster 1,LumA
TCGA-AN-A0XO-01A-11D-A10A-05,-4.0307746,4.3336186,Source,Cluster 3,LumA
TCGA-EW-A6S9-01A-22D-A33F-05,1.0340401,3.424626,Source,Cluster 3,LumA
TCGA-BH-A0BA-01A-11D-A10P-05,-4.626828,4.068575,Source,Cluster 3,LumA
TCGA-BH-A1FR-01A-11D-A13K-05,7.8544765,2.1917052,Source,Cluster 5,LumA
TCGA-BH-A1FG-01A-11D-A13K-05,-2.0201683,5.2405667,Source,Cluster 3,LumA
TCGA-BH-A0HN-01A-11D-A10P-05,-2.0984397,5.2845154,Source,Cluster 3,LumA
TCGA-JL-A3YX-01A-11D-A230-05,1.1293977,4.4816084,Source,Cluster 3,LumA
TCGA-B6-A0RO-01A-22D-A10P-05,-2.3966546,4.991513,Source,Cluster 3,LumA
TCGA-AC-A3EH-01A-22D-A22B-05,-4.315293,4.1363535,Source,Cluster 3,LumA
TCGA-AN-A0XS-01A-22D-A10A-05,-0.52034223,4.6033745,Source,Cluster 3,LumA
TCGA-BH-A0DS-01A-11D-A10P-05,-10.044534,0.56990045,Source,Cluster 1,LumA
TCGA-E9-A247-01A-11D-A16A-05,-10.041052,0.39072508,Source,Cluster 1,LumA
TCGA-AR-A1AN-01A-11D-A12R-05,6.21835,2.9847708,Source,Cluster 5,LumA
TCGA-PE-A5DE-01A-11D-A27Y-05,1.0945013,3.8506057,Source,Cluster 3,LumA
TCGA-S3-AA11-01A-31D-A41Q-05,-10.532446,0.23072937,Source,Cluster 1,LumA
TCGA-EW-A1PA-01A-11D-A145-05,-1.6768284,4.2789807,Source,Cluster 3,LumA
TCGA-BH-A28Q-01A-11D-A16G-05,-4.1350217,4.182409,Source,Cluster 3,LumA
TCGA-BH-A6R8-01A-21D-A33F-05,4.919728,4.634639,Source,Cluster 5,LumA
TCGA-A2-A0YL-01A-21D-A10A-05,6.005539,2.2673852,Source,Cluster 5,LumA
TCGA-A2-A0CK-01A-11D-A22B-05,-2.1538827,4.595438,Source,Cluster 3,LumA
TCGA-A1-A0SH-01A-11D-A10P-05,1.0082221,3.3429563,Source,Cluster 3,LumA
TCGA-E9-A1R3-01A-31D-A14N-05,8.381587,3.0705304,Source,Cluster 5,LumA
TCGA-D8-A1XM-01A-21D-A14N-05,1.4752223,3.1653655,Source,Cluster 3,LumA
TCGA-AO-A0JJ-01A-11D-A10P-05,-3.1707594,3.2959604,Source,Cluster 3,LumA
TCGA-B6-A0WT-01A-11D-A10A-05,1.0877969,4.2630754,Source,Cluster 3,LumA
TCGA-A2-A4RW-01A-21D-A268-05,-3.9764209,3.548773,Source,Cluster 3,LumA
TCGA-AR-A0TZ-01A-12D-A10P-05,-11.189144,-0.36870533,Source,Cluster 1,LumA
TCGA-D8-A1JS-01A-11D-A13K-05,0.039568663,4.431479,Source,Cluster 3,LumA
TCGA-AC-A3QP-01A-11D-A230-05,6.560149,3.847904,Source,Cluster 5,LumA
TCGA-D8-A3Z6-01A-11D-A23D-05,-2.9203377,3.1666057,Source,Cluster 3,LumA
TCGA-A1-A0SQ-01A-21D-A145-05,6.9060154,4.4507394,Source,Cluster 5,LumA
TCGA-AO-A12B-01A-11D-A10N-05,0.6375757,4.6156487,Source,Cluster 3,LumA
TCGA-LQ-A4E4-01A-11D-A268-05,-9.240824,1.5998559,Source,Cluster 1,LumA
TCGA-AR-A1AU-01A-11D-A12R-05,1.2951907,3.826591,Source,Cluster 3,LumA
TCGA-E2-A14U-01A-11D-A22B-05,5.9726615,2.4471757,Source,Cluster 5,LumA
TCGA-GM-A2DL-01A-11D-A18O-05,-2.5982993,3.3236294,Source,Cluster 3,LumA
TCGA-E9-A1RI-01A-11D-A16A-05,-3.2692006,4.832932,Source,Cluster 3,LumA
TCGA-A2-A0T7-01A-21D-A10P-05,0.3750073,4.1646433,Source,Cluster 3,LumA
TCGA-B6-A2IU-01A-32D-A18O-05,0.97988987,3.9335442,Source,Cluster 3,LumA
TCGA-AC-A8OR-01A-21D-A41Q-05,6.2392683,2.5600638,Source,Cluster 5,LumA
TCGA-E2-A1BD-01A-11D-A12R-05,-8.743852,1.0586325,Source,Cluster 1,LumA
TCGA-B6-A1KI-01A-11D-A14N-05,6.0127025,2.78485,Source,Cluster 5,LumA
TCGA-GM-A2DN-01A-11D-A17Z-05,-1.7036761,3.4925363,Source,Cluster 3,LumA
TCGA-A7-A4SA-01A-11D-A268-05,6.0339346,2.6166372,Source,Cluster 5,LumA
TCGA-D8-A1JP-01A-11D-A13K-05,1.4697618,4.1093297,Source,Cluster 3,LumA
TCGA-E2-A1B4-01A-11D-A12R-05,-1.3204958,5.2346997,Source,Cluster 3,LumA
